tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
169415,note_off,95,0,1,,,,,,,,,1,,,71,0
169440,note_on,170,0,5,,,,,,,,,5,,,50,80
169440,note_on,25,0,1,,,,,,,,,1,,,69,80
169560,note_on,0,0,1,,,,,,,,,1,,,72,79
169560,note_off,120,0,1,,,,,,,,,1,,,69,0
169680,note_on,0,0,1,,,,,,,,,1,,,66,78
169680,note_off,120,0,1,,,,,,,,,1,,,72,0
169750,note_off,310,0,5,,,,,,,,,5,,,50,0
169800,note_on,0,0,1,,,,,,,,,1,,,69,78
169800,note_off,120,0,1,,,,,,,,,1,,,66,0
169895,note_off,95,0,1,,,,,,,,,1,,,69,0
169920,note_on,25,0,1,,,,,,,,,1,,,67,77
169920,note_on,170,0,5,,,,,,,,,5,,,43,77
169920,set_tempo,1500,1,0,,,,,,428571,,,,,,,
170040,note_on,11255,0,4,,,,,,,,,4,,,55,76
170160,note_on,0,0,4,,,,,,,,,4,,,54,76
170160,note_off,120,0,4,,,,,,,,,4,,,55,0
170280,note_off,360,0,5,,,,,,,,,5,,,43,0
170280,note_on,0,0,4,,,,,,,,,4,,,55,75
170280,note_off,120,0,4,,,,,,,,,4,,,54,0
170400,note_off,120,0,4,,,,,,,,,4,,,55,0
170400,note_off,480,0,1,,,,,,,,,1,,,67,0
170400,note_on,120,0,5,,,,,,,,,5,,,43,74
170520,note_on,120,0,4,,,,,,,,,4,,,55,74
170640,note_on,0,0,2,,,,,,,,,2,,,62,73
170640,note_off,120,0,4,,,,,,,,,4,,,55,0
170640,note_on,0,0,4,,,,,,,,,4,,,54,73
170640,note_on,240,0,1,,,,,,,,,1,,,71,73
170640,note_on,2185,0,2,,,,,,,,,2,,,65,73
170760,note_off,120,0,4,,,,,,,,,4,,,54,0
170760,note_on,0,0,4,,,,,,,,,4,,,55,72
170760,note_off,360,0,5,,,,,,,,,5,,,43,0
170760,note_off,0,0,2,,,,,,,,,2,,,65,0
170760,note_off,120,0,1,,,,,,,,,1,,,71,0
170760,note_off,120,0,2,,,,,,,,,2,,,62,0
170880,note_on,120,0,5,,,,,,,,,5,,,43,72
170880,note_on,120,0,2,,,,,,,,,2,,,67,70
170880,note_on,0,0,2,,,,,,,,,2,,,64,70
170880,note_off,120,0,4,,,,,,,,,4,,,55,0
170880,note_on,120,0,1,,,,,,,,,1,,,72,70
171000,note_on,120,0,4,,,,,,,,,4,,,55,71
171000,note_off,120,0,2,,,,,,,,,2,,,64,0
171000,note_off,0,0,2,,,,,,,,,2,,,67,0
171000,note_off,120,0,1,,,,,,,,,1,,,72,0
